Difference from HDI value (%) (1990),Difference from HDI value (%) (1991),Difference from HDI value (%) (1992),Difference from HDI value (%) (1993),Difference from HDI value (%) (1994),Difference from HDI value (%) (1995),Difference from HDI value (%) (1996),Difference from HDI value (%) (1997),Difference from HDI value (%) (1998),Difference from HDI value (%) (1999),Difference from HDI value (%) (2000),Difference from HDI value (%) (2001),Difference from HDI value (%) (2002),Difference from HDI value (%) (2003),Difference from HDI value (%) (2004),Difference from HDI value (%) (2005),Difference from HDI value (%) (2006),Difference from HDI value (%) (2007),Difference from HDI value (%) (2008),Difference from HDI value (%) (2009),Difference from HDI value (%) (2010),Difference from HDI value (%) (2011),Difference from HDI value (%) (2012),Difference from HDI value (%) (2013),Difference from HDI value (%) (2014),Difference from HDI value (%) (2015),Difference from HDI value (%) (2016),Difference from HDI value (%) (2017),Difference from HDI value (%) (2018),Difference from HDI value (%) (2019),Difference from HDI value (%) (2020),Difference from HDI value (%) (2021)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7012987,33.5483871,38.28425096,40.58524173,40.25316456,40.12578616,39.97493734,45.0563204,37.45318352,27.63320942,30.81683168,30.407911,30.13530135,30.07334963,34.54987835,36.12121212,35.26570048,44.01451028,46.85230024,45.28985507,45.16908213,50.12019231,52.02863962,52.38663484,53.64396655,52.63157895,51.85628743,55.63549161,49.39759036,56.62650602,56.74698795,56.81544029
,,,,,,,,,,,,,,,,,,,,12.39242685,11.84433164,12.37458194,12.87128713,14.58670989,15.94896332,17.0846395,17.46522411,15.95744681,16.98956781,16.91616766,16.96696697
10.58020478,8.503401361,7.849829352,9.183673469,9.169550173,9.262435678,8.576329331,8.703071672,8.361774744,7.155025554,7.692307692,8.020477816,9.777015437,14.74576271,10.42016807,8.609271523,9.385113269,8.702531646,12.46105919,9.582689335,8.181818182,8.22122571,8.753709199,8.151382824,8.620689655,8.974358974,9.957924264,10.24930748,9.217877095,8.786610879,8.555399719,8.658008658
1.775147929,1.201201201,1.567398119,1.253918495,1.246105919,0.92879257,0.940438871,0.931677019,1.230769231,0.911854103,1.215805471,1.204819277,1.201201201,1.201201201,1.18694362,0.877192982,0.869565217,0.854700855,1.117318436,1.098901099,1.075268817,1.049868766,1.030927835,1.086956522,1.081081081,1.041666667,1.023017903,1.005025126,0.740740741,0.729927007,0.737100737,0.742574257
28.37209302,26.62037037,26.95852535,26.90531178,27.86697248,28.08219178,27.07622298,29.54545455,29.69283276,29.97737557,31.68539326,29.8206278,29.53020134,31.21516165,32.51942286,29.01439646,29.21719956,28.85462555,27.69230769,25.96259626,27.99121844,29.18032787,28.12160695,28.16901408,27.35135135,27.64578834,27.69396552,28.24919441,28.08145766,27.64140875,26.63802363,26.6025641
19.85898942,22.03985932,21.14485981,19.86062718,20.39397451,21.15606936,20.0,21.25714286,24.31818182,23.19004525,22.9988726,23.14606742,22.58426966,22.5698324,21.64261931,23.20441989,23.74179431,23.15217391,22.89416847,22.22222222,22.71762208,23.11770944,21.9047619,21.72995781,20.27310924,19.18238994,19.87447699,18.59979101,17.3096976,17.56756757,17.25941423,17.25571726
4.815864023,4.755244755,5.117565698,5.446927374,5.67867036,6.043956044,6.666666667,6.85483871,7.076101469,6.754966887,7.601572739,7.03125,7.35483871,7.317073171,7.623888183,8.050314465,8.417085427,8.8639201,9.102091021,7.644882861,8.610086101,9.424724602,8.737864078,8.851674641,8.20451843,8.628841608,9.176470588,9.144196952,9.462616822,9.639953542,9.389671362,9.356725146
4.132231405,4.268292683,4.365079365,4.854368932,4.761904762,5.420560748,5.688073394,5.59566787,5.496453901,5.584642234,5.821917808,6.070826307,6.456953642,7.154471545,7.827476038,8.463949843,9.230769231,9.653092006,10.26785714,11.58357771,12.59044863,13.57142857,14.3864598,15.20223152,15.31034483,15.00682128,15.13513514,15.12717537,15.23178808,15.4855643,15.57591623,15.625
1.8735363,1.635514019,1.860465116,1.847575058,1.605504587,1.583710407,1.5625,1.754385965,1.735357918,1.74291939,1.969365427,1.973684211,1.982378855,1.766004415,1.978021978,1.754385965,1.746724891,1.735357918,1.50862069,1.70575693,1.691331924,1.694915254,1.677148847,1.863354037,1.792828685,1.949317739,2.290076336,2.059925094,1.84501845,1.818181818,1.814882033,1.818181818
