Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996),Expected Years of Schooling (1997),Expected Years of Schooling (1998),Expected Years of Schooling (1999),Expected Years of Schooling (2000),Expected Years of Schooling (2001),Expected Years of Schooling (2002),Expected Years of Schooling (2003),Expected Years of Schooling (2004),Expected Years of Schooling (2005),Expected Years of Schooling (2006),Expected Years of Schooling (2007),Expected Years of Schooling (2008),Expected Years of Schooling (2009),Expected Years of Schooling (2010),Expected Years of Schooling (2011),Expected Years of Schooling (2012),Expected Years of Schooling (2013),Expected Years of Schooling (2014),Expected Years of Schooling (2015),Expected Years of Schooling (2016),Expected Years of Schooling (2017),Expected Years of Schooling (2018),Expected Years of Schooling (2019),Expected Years of Schooling (2020),Expected Years of Schooling (2021),Mean Years of Schooling (1990),Mean Years of Schooling (1991),Mean Years of Schooling (1992),Mean Years of Schooling (1993),Mean Years of Schooling (1994),Mean Years of Schooling (1995),Mean Years of Schooling (1996),Mean Years of Schooling (1997),Mean Years of Schooling (1998),Mean Years of Schooling (1999),Mean Years of Schooling (2000),Mean Years of Schooling (2001),Mean Years of Schooling (2002),Mean Years of Schooling (2003),Mean Years of Schooling (2004),Mean Years of Schooling (2005),Mean Years of Schooling (2006),Mean Years of Schooling (2007),Mean Years of Schooling (2008),Mean Years of Schooling (2009),Mean Years of Schooling (2010),Mean Years of Schooling (2011),Mean Years of Schooling (2012),Mean Years of Schooling (2013),Mean Years of Schooling (2014),Mean Years of Schooling (2015),Mean Years of Schooling (2016),Mean Years of Schooling (2017),Mean Years of Schooling (2018),Mean Years of Schooling (2019),Mean Years of Schooling (2020),Mean Years of Schooling (2021)
12.98762035,12.82841015,12.56779957,12.5387001,12.49347019,12.56346989,12.90583038,12.96228027,12.89881039,13.15797338,13.41713638,13.67629938,13.93546238,14.19462538,14.45378838,14.71295137,14.97211437,15.23127737,15.49044037,15.57968044,15.59533978,15.72727013,15.84352016,15.72134018,15.62298012,15.56527996,15.58063984,15.58522987,15.40478992,15.23906994,15.16996956,15.16996956,,,,,,9.956694897,10.04010863,10.12422118,10.20903839,10.29456617,10.38081047,10.4677773,10.5554727,10.64390279,10.73307371,10.82299168,10.91366295,11.00509383,11.09729068,11.19025993,11.28559198,11.38092403,11.47625608,11.57158813,11.66692019,11.76225224,11.85758429,11.95291634,12.04824839,12.14358044,12.14358044,12.14358044
9.961448904,10.12103037,10.28316832,10.44790371,10.61527814,10.78533389,10.95811392,11.13366187,11.31202208,11.49323961,11.67736022,11.86443043,12.20408535,12.54374027,12.84521008,12.30352974,12.81752968,12.76706982,12.70681953,12.44060993,12.43103027,12.50613976,12.90536976,12.75833035,12.74405003,12.79226017,13.43655014,13.11357975,13.14904976,13.14089012,12.99168968,12.99168968,5.451236009,5.618259907,5.790401357,5.962542806,6.134684256,6.306825706,6.478967156,6.651108606,6.823250055,6.995391505,7.167532955,7.339674405,7.511815854,7.683957304,7.856098754,8.028240204,8.519836235,9.011432266,9.503028297,9.994624329,10.48622036,10.32235832,10.15849628,9.994634247,9.830772209,9.666910172,9.503048134,9.339186096,9.175324059,9.011462021,8.847599983,8.847599983
11.58170251,11.93004266,12.28885977,12.65846893,13.03919474,13.64727287,14.25535101,14.86342914,15.47150728,15.09439366,14.71728005,14.34016643,13.96305281,13.58593919,13.20882558,13.93571091,13.92763519,14.26336479,14.31380558,14.28142166,14.24979448,14.2181673,14.38624668,14.57401371,14.04903984,13.97757244,14.49550819,14.90059471,15.01584721,14.94697094,14.94697094,14.94697094,5.993671061,6.101269806,6.210800171,6.322296831,6.433793492,6.545290152,6.656786813,6.768283473,6.879780134,6.991276794,7.102773454,7.214270115,7.152404118,7.09053812,7.028672123,6.966806126,6.904940128,7.052365065,7.199790001,7.481540203,7.712310155,7.943080107,8.17385006,8.425590197,8.677330335,8.929070473,9.162832737,9.396595001,9.630357265,9.86411953,9.827750206,9.827750206
12.10387,12.32611417,12.54835833,12.7706025,12.99284667,13.21509083,13.437335,13.65957917,13.88182333,14.1040675,14.32631167,14.54855583,14.77079964,14.01426983,13.85000992,13.77737045,13.54003525,13.30270004,13.80420971,13.78225994,13.85643482,13.9306097,13.93663025,15.29059029,15.41777039,15.36513042,15.45316982,15.48515987,15.70306015,15.59906006,15.59906006,15.59906006,3.685384501,3.831340323,3.977296144,4.123251966,4.269207788,4.41516361,4.5866617,4.758159791,4.929657882,5.101155972,5.272654063,5.449625497,5.626596931,5.803568365,5.980539799,6.150349855,6.320159912,6.501580238,6.671150208,6.768959999,6.878170013,7.006090164,7.215769768,7.287489891,7.379069805,7.506820202,7.731040001,7.851759911,7.982019901,8.128813955,8.128813955,8.128813955
12.77293015,12.909299,13.04566786,13.18203672,13.31840558,13.45477443,13.59114329,13.72751215,13.86388101,14.00024986,14.03750992,13.9832201,14.1938084,14.40439669,14.61498499,14.82557329,15.03616158,15.24674988,15.53966475,15.83257961,15.47286034,15.28594971,15.33873663,15.39170584,15.44485797,15.49819365,15.55171351,15.6054182,15.65930834,15.71338458,15.71338458,15.71338458,8.369409254,8.499922319,8.630435384,8.760948449,8.891461514,9.021974579,9.015759671,9.009544763,9.003329855,8.997114948,8.99090004,9.096553473,9.202206907,9.307860341,9.413513774,9.519167208,9.546098475,9.573029743,9.59996101,9.626892278,9.653823545,9.662110089,9.670396633,9.678683176,9.68696972,9.695256264,9.734617347,9.77397843,9.813339513,9.852700596,9.852700596,9.852700596
11.82485347,12.03989128,12.25883961,12.48176956,12.60186005,12.67656755,12.75127506,12.82598257,12.90069008,13.21045017,13.18352985,13.11894035,13.22542953,13.52630997,13.89377975,14.09928989,14.14715958,14.03194046,13.96432018,14.11898994,14.07944012,14.34918022,14.91536999,14.93539047,14.87514973,14.62773037,14.59230995,14.46683025,14.3050499,14.06389046,13.95178032,13.95178032,7.51,7.62,7.73,7.84,7.95,8.06,8.106,8.152,8.198,8.244,8.29,8.328,8.366,8.404,8.442,8.48,8.538,8.596,8.654,8.712,8.77,8.82,8.87,8.92,8.97,9.02,9.06,9.1,9.14,9.18,9.18,9.18
4.638173857,4.862608903,5.097904062,5.34458484,5.603202172,5.874333651,6.158584821,6.456590526,6.76901633,7.096560001,7.474788268,7.853016535,8.231244802,8.60947307,8.987701337,9.365929604,9.828700066,10.22360992,10.6266098,11.19859982,11.67940998,12.15114021,12.54778004,12.50473022,12.62421227,12.74369431,12.86317635,12.98265839,13.10214043,13.22500478,13.22500478,13.22500478,,,,,,,,,,,,,,,,,,,,,2.306014,2.261766999,2.217519999,2.585663986,2.953807974,3.321951962,3.690095949,4.058239937,4.580629311,5.170262283,5.170262283,5.170262283
10.8159417,10.85219002,10.88855982,10.92492962,10.89109039,11.34827995,11.57822005,11.80816015,12.03810024,12.43167019,12.59014034,12.64445019,12.43245029,12.49789047,12.48451996,12.47957039,12.61843014,12.53254986,12.42366028,12.40916486,12.39468636,12.38022475,12.36578001,12.35135213,12.33694108,12.32254684,12.3081694,12.29380874,12.27946483,12.26513765,12.26513765,12.26513765,5.52,5.758,5.996,6.234,6.472,6.71,6.89,7.07,7.25,7.43,7.61,7.744,7.878,8.012,8.146,8.28,8.398,8.516,8.634,8.752,8.87,9.1,9.33,9.56,9.79,10.02,10.1,10.18,10.26,10.34,10.34,10.34
5.387440205,5.059050083,4.283880234,4.408046105,4.532211977,4.656377848,4.78054372,4.904709592,5.028875463,5.153041335,5.277207206,5.401373078,5.525538949,5.649704821,5.773870693,5.898036564,6.022202436,6.146368307,6.270534179,6.39470005,6.62659502,6.85848999,6.847280025,7.006191114,7.168790198,7.335162868,7.5053967,7.679581304,7.85780837,8.040171714,8.040171714,8.040171714,2.06,2.134,2.208,2.282,2.356,2.43,2.516,2.602,2.688,2.774,2.86,2.94,3.02,3.1,3.18,3.26,3.322,3.384,3.446,3.508,3.57,3.702,3.834,3.966,4.098,4.23,4.256,4.282,4.308,4.334,4.334,4.334
16.76796913,17.12656021,17.26371956,16.8500309,16.95997047,16.94639015,16.95886993,16.51167965,16.06448936,15.96514988,15.88033962,15.78278392,15.68522821,15.58767251,15.4901168,15.3925611,15.29500539,15.19744968,15.17990971,15.23289013,15.12164974,15.23602962,15.65993023,15.73849964,15.80449009,15.89140034,16.00966072,16.15789032,16.22464943,16.39625931,16.39625931,16.39625931,10.74998669,10.92090034,11.09453135,11.26816235,11.44179335,11.61542435,11.78905535,11.96268635,12.13631735,12.30994835,12.48357935,12.65721035,12.78942223,12.9216341,13.05384598,13.18605785,13.31826973,13.36716785,13.41606598,13.4649641,13.51386223,13.56276035,13.59659233,13.63042431,13.66425629,13.69808826,13.73192024,13.76600456,13.80017348,13.83442722,13.83442722,13.83442722
13.42648029,13.62067032,13.77219009,14.13531971,14.27805996,14.43200016,14.57855034,14.80767012,15.03678989,15.11299992,15.21967983,15.23707962,15.02394962,15.16263962,15.26268959,15.26478958,15.32474995,15.35081959,15.38848019,15.45699978,15.62874985,15.73497963,15.81684017,15.98027039,16.08714008,16.19400978,16.24938011,16.32843971,16.41327095,16.50029945,16.50029945,16.50029945,10.53357283,10.52323566,10.51289849,10.50256133,10.49222416,10.48188699,10.51289849,10.54390999,10.57492149,10.60593299,10.63694449,10.75065333,10.86436216,10.97807099,11.09177983,11.20548866,11.73888646,12.27228426,12.80568206,13.33907986,13.32365036,13.32542038,13.41355038,13.5268302,13.64011002,13.71187973,13.66668034,13.73318529,13.79969025,13.85966015,13.85966015,13.85966015
