Inequality-adjusted Human Development Index (2010),Inequality-adjusted Human Development Index (2011),Inequality-adjusted Human Development Index (2012),Inequality-adjusted Human Development Index (2013),Inequality-adjusted Human Development Index (2014),Inequality-adjusted Human Development Index (2015),Inequality-adjusted Human Development Index (2016),Inequality-adjusted Human Development Index (2017),Inequality-adjusted Human Development Index (2018),Inequality-adjusted Human Development Index (2019),Inequality-adjusted Human Development Index (2020),Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2010),Coefficient of human inequality (2011),Coefficient of human inequality (2012),Coefficient of human inequality (2013),Coefficient of human inequality (2014),Coefficient of human inequality (2015),Coefficient of human inequality (2016),Coefficient of human inequality (2017),Coefficient of human inequality (2018),Coefficient of human inequality (2019),Coefficient of human inequality (2020),Coefficient of human inequality (2021),Overall loss (%) (2010),Overall loss (%) (2011),Overall loss (%) (2012),Overall loss (%) (2013),Overall loss (%) (2014),Overall loss (%) (2015),Overall loss (%) (2016),Overall loss (%) (2017),Overall loss (%) (2018),Overall loss (%) (2019),Overall loss (%) (2020),Overall loss (%) (2021),Inequality in life expectancy (2010),Inequality in life expectancy (2011),Inequality in life expectancy (2012),Inequality in life expectancy (2013),Inequality in life expectancy (2014),Inequality in life expectancy (2015),Inequality in life expectancy (2016),Inequality in life expectancy (2017),Inequality in life expectancy (2018),Inequality in life expectancy (2019),Inequality in life expectancy (2020),Inequality in life expectancy (2021),Inequality in eduation (2010),Inequality in eduation (2011),Inequality in eduation (2012),Inequality in eduation (2013),Inequality in eduation (2014),Inequality in eduation (2015),Inequality in eduation (2016),Inequality in eduation (2017),Inequality in eduation (2018),Inequality in eduation (2019),Inequality in eduation (2020),Inequality in eduation (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
,,,0.302,0.305,0.309,0.314,0.318,0.34,0.346,0.347,0.348,,,,34.86886939,34.66238555,34.45291225,34.22126476,34.05636684,30.12928742,29.9007826,29.45613736,29.27151682,,,,35.88110403,35.5179704,35.35564854,35.12396694,34.96932515,31.31313131,31.21272366,30.73852295,30.4,30.43769455,29.55501366,28.79298019,28.20931816,27.58986664,26.96144676,26.26650429,25.77181053,25.26255226,24.57703781,23.90110207,23.34724045,,,,49.32129,49.32129,49.32129,49.32129,49.32129,47.65805,47.65805,47.00005,47.00005,26.928,26.928,26.928,27.076,27.076,27.076,27.076,27.076,17.46726,17.46726,17.46726,17.46726
0.278,0.286,0.289,0.293,0.296,0.301,0.297,0.301,0.302,0.308,0.305,0.306,37.07101232,36.73059636,36.41401718,36.10393824,36.35539663,36.09423864,37.64783336,37.40630961,37.18372902,37.01415839,36.71196888,36.50182103,37.24604966,36.72566372,36.62280702,36.30434783,36.4806867,36.22881356,37.86610879,37.42203742,37.34439834,37.14285714,36.85300207,36.64596273,38.39803696,37.37678909,36.42705154,35.49681473,34.65616989,33.87269592,33.13348007,32.40890884,31.74116707,31.05543518,30.14886665,29.51842308,40.315,40.315,40.315,40.315,41.91002,41.91002,41.91002,41.91002,41.91002,42.08704,42.08704,42.08704,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,37.9,37.9,37.9,37.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.06473923,37.24565887,36.51246262,35.78303146,35.03219223,34.30583954,33.59202576,32.92351532,32.18571472,31.53940582,30.71678162,30.0848732,,,,,,,,,,,,,,,,,,,,,,,,
0.772,0.768,0.76,0.763,0.764,0.767,0.764,0.772,0.789,0.793,0.79,0.791,10.96664399,10.96952592,11.94801737,12.11862731,12.83253411,12.59393648,12.60021141,11.95835269,10.68209766,10.66638675,10.66728119,10.66271436,11.16225547,11.21387283,12.24018476,12.39954076,13.08304892,12.84090909,12.88483466,12.27272727,10.94808126,10.79865017,10.83521445,10.82299887,3.55834198,3.566987753,3.577052116,3.580941916,3.642162323,3.697279453,3.643384218,3.627618074,3.531682968,3.484550238,3.626233578,3.612533092,11.26785,11.26785,11.62377,11.6945,14.16485,13.28169,13.11876,12.77045,11.06794,11.06794,11.73784,11.73784,18.07374,18.07374,20.64323,21.08044,20.69059,20.80284,21.03849,19.47699,17.44667,17.44667,16.63777,16.63777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.429408073,9.493803024,9.592565536,9.679112434,9.766962051,9.843903542,9.92332077,9.969642639,9.964535713,9.900878906,9.787959099,9.633924484,,,,,,,,,,,,,,,,,,,,,,,,
0.411,0.407,0.412,0.416,0.465,0.463,0.465,0.466,0.467,0.469,0.465,0.46,31.44958737,32.45425166,32.26941622,32.1003285,26.64833755,27.06318195,26.90725175,26.75967192,26.62952431,26.44724059,26.24565323,26.12651356,32.0661157,33.38788871,33.11688312,32.90322581,27.00156986,27.54303599,27.23004695,27.1875,27.03125,26.9470405,26.77165354,26.63476874,19.13253212,18.55984497,18.00533867,17.49807549,17.03391266,16.67461586,16.20682526,15.76408577,15.37364292,14.82679176,14.22202969,13.86461067,36.03623,34.64291,34.64291,34.64291,33.3511,34.95493,34.95493,34.95493,34.95493,34.95493,34.95493,34.95493,39.18,44.16,44.16,44.16,29.56,29.56,29.56,29.56,29.56,29.56,29.56,29.56
0.536,0.544,0.548,0.552,0.557,0.56,0.566,0.571,0.576,0.583,0.595,0.591,18.13332796,18.04764223,17.95131667,17.85103527,18.03185555,17.9187555,17.80327571,17.68253355,17.56875829,17.45391363,17.20932269,17.094939,18.29268293,18.19548872,18.08669656,17.97919762,18.20851689,18.12865497,18.08972504,17.84172662,17.83166904,17.65536723,17.47572816,17.22689076,19.46949387,19.21243668,18.92346001,18.62261581,18.29527664,17.95597649,17.60953712,17.24731064,16.90598488,16.56174088,16.10251808,15.75936699,10.48157,10.48157,10.48157,10.48157,10.70029,10.70029,10.70029,10.70029,10.70029,10.7,10.42545,10.42545,24.44892,24.44892,24.44892,24.44892,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
,0.788,0.791,0.796,0.805,0.811,0.814,0.821,0.825,0.828,0.826,0.828,,13.31965114,13.29918712,13.28033568,12.86715281,12.68014339,12.66341888,12.51109397,12.49644021,12.45552219,12.43903793,12.42997802,,13.78555799,13.83442266,13.85281385,13.44086022,13.26203209,13.2196162,13.02966102,13.06638567,13.02521008,12.96101159,13.02521008,2.605719805,2.545839548,2.484447479,2.427893162,2.372759581,2.316095352,2.265921831,2.215929747,2.17196846,2.132227659,2.082774878,2.05559516,12.39056787,11.85039423,11.85039423,11.85039423,10.66597921,10.16161518,10.16161518,9.754632522,9.754632522,9.671619265,9.671619265,9.671619265,,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964
0.433,0.437,0.436,0.451,0.457,0.465,0.465,0.467,0.47,0.487,0.479,0.479,26.62286203,26.34409988,26.25592785,24.57572977,23.9326218,23.54492954,23.8828071,23.60994046,23.12719462,22.34963475,22.25318649,22.2190672,27.47068677,27.16666667,27.21202003,25.20729685,24.58745875,24.14355628,24.75728155,24.31118314,23.82495948,22.94303797,22.86634461,22.86634461,13.81529808,13.19640064,12.73053455,12.35033131,11.96503639,11.60139561,11.31599331,11.03649139,10.73721886,10.52504826,10.23570347,10.1333456,25.34126,25.07937,24.34048,24.41458,23.57479,23.37398,22.78421,23.34274,22.44937,21.61233,21.61233,21.61233,40.712028,40.756529,41.696769,36.962278,36.258039,35.659413,37.548218,36.45059,36.194995,34.911526,34.911526,34.911526
,,0.758,0.764,0.765,0.767,0.774,0.783,0.79,0.795,0.794,0.797,,,8.475193906,8.601422738,8.847652095,8.799965869,8.556636216,7.944968942,7.597601969,7.542317072,6.956418948,6.984191534,,,8.674698795,8.830548926,9.03686088,9.015421115,8.726415094,8.098591549,7.710280374,7.665505226,7.134502924,7.10955711,4.125409603,4.236783981,3.853091717,3.778178215,4.186516285,3.869197607,3.782008648,3.712196827,3.748035908,3.582181215,3.673586845,3.756904602,,,4.33104,4.41647,4.9891,5.16336,5.0064,4.93405,4.67412,4.67412,4.24197,4.24197,,17.56036,17.24145,17.60962,17.36734,17.36734,16.8815,15.18866,14.37065,14.37065,12.9537,12.9537
0.242,0.305,0.312,0.316,0.319,0.322,0.32,0.327,0.329,0.331,0.33,0.327,44.0394978,40.0820641,39.18251766,38.99256417,38.80678968,38.64215752,39.21881058,38.63185367,38.4672622,38.31986293,38.11133505,38.1192817,44.1108545,40.4296875,39.65183752,39.34740883,39.23809524,39.13043478,39.84962406,39.33209647,39.18669131,39.04235727,38.88888889,38.87850467,43.57449341,31.70219231,30.85085297,30.28099251,29.72366905,29.22977257,28.92017174,28.120121,27.62634659,27.18414879,26.55856514,26.58240509,40.681,40.681,38.29759,38.29759,38.29759,38.29759,38.29759,37.33677,37.33677,37.33677,37.33677,37.33677,47.863,47.863,48.39911,48.39911,48.39911,48.39911,50.43867,50.43867,50.43867,50.43867,50.43867,50.43867
0.768,0.77,0.773,0.776,0.775,0.774,0.779,0.778,0.789,0.792,0.794,0.792,7.121841671,7.175996883,6.884100295,7.482281829,7.432696546,7.543303375,7.409337753,7.753137568,6.960471012,7.031168797,6.339498038,6.37034972,7.246376812,7.228915663,6.97954272,7.619047619,7.517899761,7.637231504,7.591933571,7.928994083,7.067137809,7.15123095,6.478209658,6.382978723,5.072165012,4.935520649,4.847210884,4.847445488,4.623679638,4.417930126,4.268203259,4.013932705,3.831593037,4.04368639,3.861354113,3.953909159,4.08192,3.48215,3.18778,3.11786,3.09017,2.95528,3.21994,3.19396,3.11063,3.11063,2.86309,2.86309,12.21144,13.11032,12.61731,14.48154,14.58424,15.2567,14.73987,16.05152,13.93919,13.93919,12.29405,12.29405
,,0.556,0.561,0.568,0.575,0.585,0.584,0.587,0.593,0.589,0.585,,,17.99881658,17.84055496,17.28832165,17.21423623,16.24575237,17.05058085,17.2721049,17.12257831,16.96487713,16.86744309,,,17.99410029,17.86237189,17.3216885,17.26618705,16.30901288,17.04545455,17.32394366,17.17877095,16.92524683,17.0212766,18.01467323,17.54471016,17.09958458,16.62479973,16.17829323,15.76304531,15.32721138,14.88072681,14.44902802,14.00044823,13.5273447,13.23504257,20.92645685,19.64056516,19.64056516,19.64056516,18.43037173,18.62336339,16.15374573,16.15374573,17.25001669,17.25001669,17.25001669,17.25001669,,,17.2563,17.2563,17.2563,17.2563,17.2563,20.11727,20.11727,20.11727,20.11727,20.11727
0.404,0.415,0.423,0.431,0.441,0.459,0.469,0.473,0.476,0.482,0.481,0.475,29.0744413,28.7728685,28.47177063,28.18294846,27.87921082,26.41276048,26.13743343,25.87529507,25.62413349,24.80447006,24.54688962,24.39381027,29.73913043,29.42176871,29.26421405,28.99505766,28.75605816,27.02702703,26.60406886,26.55279503,26.20155039,25.27131783,25.07788162,24.96050553,25.6433239,24.7386055,23.83531189,22.96884537,22.05763245,21.20155144,20.3755703,19.5891552,18.83567047,18.16868019,17.39593887,16.93670082,42.42,42.42,42.42,42.42,42.42,38.66773,38.66773,38.66773,38.66773,36.87573,36.87573,36.87573,19.16,19.16,19.16,19.16,19.16,19.369,19.369,19.369,19.369,19.369,19.369,19.369
0.84,0.838,0.84,0.837,0.837,0.846,0.852,0.867,0.87,0.874,0.884,0.886,6.95795578,6.932831787,6.881864729,7.667578861,8.204538099,8.166726657,8.083984523,7.026772575,7.009954211,6.991820491,6.142305438,6.161783203,7.079646018,7.095343681,6.976744186,7.81938326,8.424507659,8.540540541,8.288482239,7.173447537,7.150480256,7.218683652,6.256627784,6.243386243,3.850567341,3.77519536,3.622294188,3.689896584,3.563034296,3.507879972,3.259653568,3.088737726,3.038282633,2.983881474,2.767296314,2.825729609,3.23114,3.23114,3.23114,2.98953,2.93136,2.87308,2.87308,3.28604,3.28604,3.28604,3.39666,3.39666,13.79216,13.79216,13.79216,16.32331,18.11922,18.11922,18.11922,14.70554,14.70554,14.70554,12.26296,12.26296
,,,0.677,0.681,0.685,0.695,0.698,0.697,0.693,0.688,0.686,,,,11.77318745,11.63593416,11.51815856,11.43150103,11.33171269,11.26013116,11.22097012,11.27667646,11.07722438,,,,11.96358908,11.90168176,11.72680412,11.57760814,11.53358682,11.43583227,11.49425287,11.45431145,11.36950904,12.08422947,11.46416569,11.02743149,10.63451958,10.22693253,9.873605728,9.59579277,9.296427727,9.081683159,8.96420002,9.131319046,8.532962799,5.06605578,5.06605578,5.06496154,4.970760875,4.966588065,4.966588065,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444,,,,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189
,0.506,0.516,0.522,0.525,0.53,0.534,0.54,0.557,0.56,0.548,0.554,,21.7664836,21.60961117,21.51592093,21.27286623,21.1252794,21.12885695,20.87256652,19.17035961,19.09029897,18.94589869,18.80229155,,22.03389831,21.81818182,21.73913043,21.64179104,21.48148148,21.35493373,21.16788321,19.50867052,19.54022989,19.29307806,19.24198251,19.10188293,18.52131081,18.05069351,17.7696228,17.04045868,16.59769821,16.60843086,15.83955956,15.08621883,14.84603691,14.41283607,13.98201466,,30.63102,30.63102,30.63102,30.63102,30.63102,30.63102,30.63102,29.74591,29.74591,29.74591,29.74591,,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,12.67895,12.67895,12.67895,12.67895
0.844,0.861,0.867,0.877,0.889,0.891,0.901,0.904,0.913,0.914,0.913,0.915,6.205160042,5.462641271,5.76565346,5.523650357,5.148387608,5.62169343,4.948546981,5.192773675,4.720369837,4.646738233,4.600179058,4.556437474,6.430155211,5.592105263,5.863192182,5.597416577,5.223880597,5.714285714,4.957805907,5.241090147,4.796663191,4.791666667,4.597701149,4.588112617,2.836820126,2.275283813,2.662500381,2.93267107,2.672552824,2.638380289,2.241740942,2.974421024,2.446269512,2.225374699,2.085697174,1.954472423,2.5442,2.49579,2.41753,2.48965,2.60176,2.55416,2.79474,2.79474,2.20077,2.20077,2.20077,2.20077,13.23446,11.61685,12.21693,11.14863,10.17085,11.67254,9.80916,9.80916,9.51407,9.51407,9.51407,9.51407
0.779,0.782,0.787,0.794,0.804,0.805,0.806,0.81,0.815,0.816,0.813,0.815,12.42604893,12.35658612,11.93067184,11.63093809,11.03127351,10.98914469,11.18558637,11.18597763,10.91367367,10.90440674,10.88659536,10.86813024,12.86353468,12.82051282,12.36080178,12.16814159,11.45374449,11.44114411,11.7196057,11.66848419,11.31664853,11.40065147,11.34133043,11.31664853,3.751676798,3.641724348,3.61313653,3.374737263,3.37282753,3.378642082,3.311211109,3.2863729,3.335021019,3.307220221,3.253786087,3.198390722,8.52947,8.431034,7.632879,6.972077,6.736993,6.604792,6.556548,6.58256,6.272,6.272,6.272,6.272,24.997,24.997,24.546,24.546,22.984,22.984,23.689,23.689,23.134,23.134,23.134,23.134
0.778,0.78,0.782,0.78,0.775,0.777,0.781,0.78,0.787,0.793,0.786,0.791,11.51876656,11.59185284,11.19502066,11.18931746,11.91325177,11.59195236,11.57726371,11.80936717,11.6091278,11.23884003,11.21533625,11.22130912,11.79138322,11.86440678,11.4382786,11.56462585,12.23103058,11.9047619,11.95039459,12.16216216,11.87010078,11.5942029,11.58605174,11.62011173,3.340169668,3.277348518,3.178961992,3.126062393,3.00865531,3.056837082,3.01277113,3.106271505,3.049903393,2.789750099,2.719238758,2.737157345,13.12758,11.67765,10.55974,9.85659,11.46944,10.45736,10.45736,10.97711,10.60056,10.05442,10.05442,10.05442,18.08855,19.82056,19.84636,20.5853,21.26166,21.26166,21.26166,21.34472,21.17692,20.87235,20.87235,20.87235
,0.589,0.593,0.594,0.595,0.594,0.594,0.597,0.596,0.599,0.594,0.591,,16.06593317,15.96931293,15.8821312,15.82010454,15.76560174,15.70488956,15.6390215,15.92864997,15.88151175,15.7977499,15.73566602,,16.92524683,16.83029453,16.80672269,16.66666667,16.69004208,16.57303371,16.5034965,16.75977654,16.68984701,16.69004208,16.64315938,10.93153572,10.62568951,10.33582878,10.0742836,9.888203621,9.724695206,9.54255867,9.344954491,9.303999901,9.162585258,8.911299706,8.725048065,,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,6.51579,6.51579,6.51579,6.51579,,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616
0.59,0.588,0.603,0.602,0.602,0.602,0.602,0.613,0.618,0.622,0.62,0.617,18.46345628,18.3850188,16.28383785,16.20654414,16.12257025,16.04079109,15.96366395,14.5313612,14.45392984,14.36587805,14.26864014,14.20510318,18.62068966,18.44660194,16.36615811,16.27260083,16.27260083,16.15598886,16.15598886,14.62395543,14.52282158,14.44291609,14.2461964,14.30555556,11.91417885,11.67886639,11.45873356,11.22685242,10.97493076,10.72959328,10.49821186,10.24037361,10.00807953,9.743924141,9.452210426,9.261599541,22.4,22.4,16.9017,16.9017,16.9017,16.9017,16.9017,15.44186,15.44186,15.44186,15.44186,15.44186,21.07619,21.07619,20.49108,20.49108,20.49108,20.49108,20.49108,17.91185,17.91185,17.91185,17.91185,17.91185
,,,0.835,0.839,0.843,0.845,0.847,0.847,0.849,0.848,0.85,,,,8.045320855,8.037602133,8.002617942,7.994898107,7.958290285,7.960943963,7.96017109,7.934751934,7.894689109,,,,8.241758242,8.205689278,8.169934641,8.251900109,8.134490239,8.234019502,8.116883117,8.12567714,8.108108108,3.186790943,3.357638121,3.054442883,2.962073565,2.938917398,2.833964825,2.810805321,2.700981855,2.70894289,2.706624269,2.630366802,2.510178328,,,,4.511,4.511,4.511,4.511,4.511,4.511,4.511,4.511,4.511,14.557639,14.557639,14.557639,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889
0.671,0.696,0.706,0.717,0.725,0.745,0.747,0.753,0.757,0.761,0.756,0.755,12.40355639,10.13988969,9.82074703,9.508880906,9.251581801,7.372503663,7.210247422,7.114502494,7.05693903,7.022807503,6.977793122,6.925083065,12.51629726,10.19354839,9.833971903,9.46969697,9.261576971,7.453416149,7.204968944,7.151664612,7.002457002,7.081807082,7.125307125,6.905055487,12.94566917,11.88835907,10.93093109,9.995332718,9.223435402,8.610980988,8.124212265,7.836977482,7.66428709,7.561892509,7.426849365,7.268719196,6.94,5.874,5.874,5.874,5.874,3.16666,3.16666,3.16666,3.16666,3.16666,3.16666,3.16666,17.325,12.65731,12.65731,12.65731,12.65731,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987
0.385,0.389,0.391,0.393,0.409,0.412,0.418,0.422,0.426,0.429,0.428,0.426,29.25035904,29.05119242,28.91334961,28.74339976,26.59454989,26.44800702,26.28717366,26.15588386,26.02581222,25.91581161,25.83761413,25.6850841,29.35779817,29.27272727,29.16666667,29.06137184,26.70250896,26.5597148,26.53778559,26.22377622,26.16984402,26.16179002,25.95155709,25.91304348,25.76788712,25.17038727,24.75685883,24.24700928,23.73991966,23.30029106,22.81779099,22.42392159,22.03370667,21.70370483,21.4691124,21.01152229,26.01787,26.01787,26.01787,26.01787,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,35.96532,35.96532,35.96532,35.96532,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821
0.558,0.56,0.589,0.596,0.617,0.62,0.623,0.627,0.63,0.631,0.624,0.627,15.69967546,15.46157699,12.62352136,12.41039168,10.33460516,10.13757287,9.958120607,9.781212747,9.63629613,9.49040049,9.33376711,9.226713037,15.96385542,15.78947368,12.74074074,12.60997067,10.31976744,10.14492754,10.1010101,9.913793103,9.742120344,9.598853868,9.433962264,9.393063584,16.45799637,15.74370098,15.11818409,14.47879505,13.85059547,13.2594986,12.72114182,12.19041824,11.71404839,11.27636147,10.80646133,10.48529911,6.587,6.587,5.01723,5.01723,4.97927,4.97927,4.97927,4.97927,3.36425,3.36425,3.36425,3.36425,24.05403,24.05403,17.73515,17.73515,12.17395,12.17395,12.17395,12.17395,13.83059,13.83059,13.83059,13.83059
0.411,0.419,0.426,0.434,0.453,0.458,0.465,0.47,0.475,0.481,0.48,0.479,23.7495282,23.38431862,23.01605092,22.75737821,20.16024803,19.9613707,19.76870306,19.57916601,19.4401133,19.29921682,19.16744573,19.00450602,23.88888889,23.54014599,23.24324324,22.77580071,20.38664323,20.20905923,19.96557659,19.79522184,19.62774958,19.56521739,19.46308725,19.22428331,22.62943459,21.53380585,20.42900276,19.65298462,18.8337841,18.2371521,17.65914917,17.09053802,16.6733799,16.25069046,15.8553772,15.36655807,28.3292,28.3292,28.3292,28.3292,27.30485,27.30485,27.30485,27.30485,27.30485,27.30485,27.30485,27.30485,20.28995,20.28995,20.28995,20.28995,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211
,,,,,,,,0.511,0.518,0.514,0.516,,,,,,,,,17.69722474,17.51534824,17.33153324,17.15409705,,,,,,,,,17.84565916,17.77777778,17.49598716,17.30769231,27.40062332,27.09345818,26.7592411,26.38279343,25.97592545,25.53634071,25.04630852,24.56849098,24.09827423,23.55264473,23.00119972,22.46889114,21.38,21.38,21.38,21.38,21.38,21.38,,,9.63653,9.63653,9.63653,9.63653,,,,,,,,,19.35687,19.35687,19.35687,19.35687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15888977,8.962422371,8.457558632,9.087021828,10.35791492,11.15679741,7.617222786,7.471830368,8.310338974,8.151934624,8.054526329,7.958518505,,,,,,,,,,,,,,,,,,,,,,,,
0.795,0.8,0.804,0.808,0.814,0.822,0.825,0.829,0.832,0.836,0.835,0.838,10.50091227,10.46424834,10.24077454,10.20518643,9.961027799,9.331684265,9.32874006,9.301127215,9.278031448,9.250767409,9.305038392,9.264535208,10.6741573,10.71428571,10.36789298,10.32186459,10.15452539,9.570957096,9.539473684,9.497816594,9.466811752,9.425785482,9.436008677,9.405405405,3.615665913,3.505674124,3.395252705,3.288488388,3.196012497,3.109010458,3.020177841,2.937339306,2.868052006,2.78625989,2.949072838,2.827563286,10.6370709,10.6370709,10.6370709,10.6370709,10.6370709,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,17.25,17.25,16.69,16.69,16.05,16.05,16.13,16.13,16.13,16.13,16.13,16.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.587255955,6.328181267,6.080307961,5.857237339,5.686891079,5.607057095,5.523573875,5.500520706,5.528513432,5.561344624,5.662422657,5.555344582,24.47025119,24.47025119,21.61969367,22.91144815,22.91144815,22.46443172,22.46443172,21.94016533,22.10817735,22.10817735,22.10817735,22.10817735,,,,,,,,,,,,
0.403,0.413,0.416,0.425,0.434,0.44,0.446,0.454,0.455,0.459,0.459,0.459,26.79786279,26.48863326,27.0444079,26.79410971,26.49129078,26.25189755,26.00642814,24.96434642,24.80699843,24.56901472,24.3368904,24.17681998,26.86025408,26.64298401,27.27272727,26.97594502,26.68918919,26.5442404,26.1589404,25.20593081,25.04118616,24.75409836,24.50657895,24.38220758,28.61852837,27.69083977,26.75342369,26.00252914,25.09407234,24.37589264,23.63948441,22.99173927,22.51969528,21.80574417,21.10937119,20.62915993,31.21,31.21,34.0543,34.0543,34.0543,34.0543,34.0543,31.31796,31.31796,31.31796,31.31796,31.31796,20.56506,20.56506,20.3255,20.3255,20.3255,20.3255,20.3255,20.58334,20.58334,20.58334,20.58334,20.58334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.174997807,6.948126316,6.751335144,6.622543812,6.449968338,6.251280785,6.004515648,5.889838696,5.713357449,5.630833149,5.472673893,5.557227612,,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,29.985,,,,,,,,,,,
0.3,0.305,0.309,0.315,0.312,0.313,0.319,0.321,0.324,0.325,0.329,0.33,33.69780515,33.48632723,33.3035867,33.21955399,33.38746171,33.2961671,32.81814103,32.6540976,32.50999296,32.35451798,30.87588631,30.66384255,34.7826087,34.26724138,34.25531915,33.68421053,33.89830508,33.82663848,33.26359833,33.26403326,32.91925466,32.85123967,31.45833333,31.39293139,35.70941544,35.07498169,34.5267601,34.06571198,34.56943512,34.2955513,32.86147308,32.3693428,31.93702888,31.47060394,30.76220894,30.12607765,46.38,46.38,46.38,42.87091,42.87091,42.87091,42.87091,42.87091,42.87091,42.87091,42.11968,42.11968,19.004,19.004,19.004,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,19.74577,19.74577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61532497,12.4464674,10.07670879,9.842352867,10.28180695,10.03298759,9.851985931,9.205767632,8.82930851,9.041166306,8.409916878,7.824037075,,,,,,,,,,,,,,,,,,,,,,,,
,,0.571,0.569,0.571,0.574,0.58,0.58,0.583,0.576,0.565,0.559,,,21.82516717,22.1291223,21.91226249,21.77447658,21.65995555,21.54309611,21.40988847,21.28735849,21.30441146,21.32341215,,,22.20708447,22.47956403,22.31292517,22.11668928,22.04301075,22.04301075,21.84986595,21.63265306,21.85338866,21.81818182,11.87806225,11.42263317,11.41218376,11.68582916,11.03524971,10.62189198,10.2783289,9.927750587,9.52812767,9.16053772,9.211696625,9.268698692,26.66745775,26.66745775,26.66745775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,,,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.764305115,5.784716606,5.519098282,5.517054558,5.603754997,5.33055687,5.517644882,4.83685112,5.168003082,4.640066147,4.56967926,4.739531994,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.661,0.664,0.67,0.672,0.674,0.676,,,,,,,13.5587701,13.51707927,13.3899254,13.34002375,13.26281666,13.18638698,,,,,,,13.82007823,13.87808042,13.65979381,13.62467866,13.58974359,13.55498721,8.065412521,7.846017838,7.491822243,7.197204113,6.884626389,6.52655077,6.315870285,6.190797806,5.809336185,5.659631252,5.428009987,5.198720932,,,,,,,11.99693,11.99693,11.99693,11.99693,11.99693,11.99693,,,,,,,22.36351,22.36351,22.36351,22.36351,22.36351,22.36351
0.299,0.304,0.311,0.314,0.332,0.337,0.345,0.348,0.376,0.377,0.376,0.372,35.39865415,35.27966738,35.2114784,35.23251391,32.60206422,32.63370078,32.4177851,32.40623674,27.75884422,27.79468203,27.60609485,27.39429777,35.97430407,36.0,36.00823045,35.91836735,33.06451613,33.00198807,32.87937743,32.81853282,27.96934866,28.05343511,27.83109405,27.62645914,34.85679245,34.49983215,34.2952652,34.35837173,34.78988266,34.88479233,34.23704529,34.20240021,34.14277267,34.2502861,33.68452454,33.0491333,24.3,24.3,24.3,24.3,21.91631,21.91631,21.91631,21.91631,19.55712,19.55712,19.55712,19.55712,47.03917,47.03917,47.03917,47.03917,41.1,41.1,41.1,41.1,29.57664,29.57664,29.57664,29.57664
